"script_path","category","purpose","status","complexity","dependencies_notes"
"results/cross_experiment/runs/run_2026_03_13_111303_activation_coordinate_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_111303_activation_coordinate_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_112143_barrier_observable_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_112143_barrier_observable_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_115111_AX_functional_relation_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_115111_AX_functional_relation_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_115401_AX_functional_relation_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_115401_AX_functional_relation_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_121414_AX_power_law_exponent_summary/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_121414_AX_power_law_exponent_summary","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_121740_aging_timescale_bridge/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_121740_aging_timescale_bridge","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_122404_aging_timescale_bridge/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_122404_aging_timescale_bridge","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_123230_AX_scaling_temperature_robustness/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_123230_AX_scaling_temperature_robustness","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_153214_switching_joule_heating_null_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_153214_switching_joule_heating_null_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_153844_switching_joule_heating_null_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_153844_switching_joule_heating_null_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_154252_switching_joule_heating_null_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_154252_switching_joule_heating_null_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_160239_switching_joule_heating_null_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_160239_switching_joule_heating_null_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_063231_switching_dynamical_susceptibility/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_063231_switching_dynamical_susceptibility","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_111741_aging_switching_clock_bridge/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_111741_aging_switching_clock_bridge","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_121504_switching_susceptibility_ridge_motion_te/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_121504_switching_susceptibility_ridge_motion_te","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_121511_switching_chi_shift_shape_decomposition/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_121511_switching_chi_shift_shape_decomposition","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_121519_switching_dyn_susc_robustness_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_121519_switching_dyn_susc_robustness_audit","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_122017_switching_susceptibility_ridge_motion_te/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_122017_switching_susceptibility_ridge_motion_te","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_131154_aging_dip_switching_shape_link/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_131154_aging_dip_switching_shape_link","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_131230_switching_shape_sector_vs_collapse_asymm/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_131230_switching_shape_sector_vs_collapse_asymm","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_131833_aging_dip_switching_shape_link/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_131833_aging_dip_switching_shape_link","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_132243_aging_dip_switching_shape_link/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_132243_aging_dip_switching_shape_link","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_14_132600_aging_dip_switching_shape_link/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_132600_aging_dip_switching_shape_link","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_133614_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_133614_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_172302_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_172302_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_200404_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_200404_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_200623_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_200623_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_202022_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_202022_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_205800_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_205800_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_205938_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_205938_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_210111_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_210111_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_210315_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_210315_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_210701_effective_observables_catalog/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_15_210701_effective_observables_catalog","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_15_210701_effective_observables_catalog/reports/effective_observables_catalog_run_script_copy.m","unknown","effective_observables_catalog_run","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"results/cross_experiment/runs/run_2026_03_15_235644_observable_physical_quantity_audit/config_snapshot.m","infrastructure","config_snapshot.m","PARTIAL","SIMPLE","reads config_snapshot"
"results/cross_experiment/runs/run_2026_03_16_003331_creep_activation_scaling/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_003331_creep_activation_scaling","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_003621_creep_activation_scaling/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_003621_creep_activation_scaling","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_004456_creep_activation_scaling/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_004456_creep_activation_scaling","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_110426_observable_catalog_completion/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_110426_observable_catalog_completion","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_110455_observable_catalog_completion/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_110455_observable_catalog_completion","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_110547_observable_catalog_completion/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_110547_observable_catalog_completion","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_110632_observable_catalog_completion/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_110632_observable_catalog_completion","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_145120_observable_physics_reduction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_145120_observable_physics_reduction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_145158_observable_physics_reduction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_145158_observable_physics_reduction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_145913_observable_physics_completeness_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_145913_observable_physics_completeness_audit","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_150042_observable_physics_completeness_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_150042_observable_physics_completeness_audit","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_151335_observable_basis_sufficiency_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_151335_observable_basis_sufficiency_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_151417_observable_basis_sufficiency_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_151417_observable_basis_sufficiency_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_151440_observable_basis_sufficiency_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_151440_observable_basis_sufficiency_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_151513_observable_basis_sufficiency_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_151513_observable_basis_sufficiency_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_152954_observable_basis_sufficiency_robustness/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_152954_observable_basis_sufficiency_robustness","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_153030_observable_basis_sufficiency_robustness/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_153030_observable_basis_sufficiency_robustness","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_153106_observable_basis_sufficiency_robustness/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_153106_observable_basis_sufficiency_robustness","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_173124_R_X_reconciliation_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_173124_R_X_reconciliation_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_173235_R_X_reconciliation_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_173235_R_X_reconciliation_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_16_173307_R_X_reconciliation_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_173307_R_X_reconciliation_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_062756_phase_diagram_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_062756_phase_diagram_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_062942_phase_diagram_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_062942_phase_diagram_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_063053_phase_diagram_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_063053_phase_diagram_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_063154_phase_diagram_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_063154_phase_diagram_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_063312_phase_diagram_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_063312_phase_diagram_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_063546_phase_diagram_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_063546_phase_diagram_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_063802_phase_diagram_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_063802_phase_diagram_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_063903_phase_diagram_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_063903_phase_diagram_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_070309_repository_documentation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_070309_repository_documentation","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_070502_repository_documentation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_070502_repository_documentation","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_070643_repository_documentation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_070643_repository_documentation","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_070830_repository_documentation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_070830_repository_documentation","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_071027_repository_documentation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_071027_repository_documentation","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_17_071311_observable_naming_update/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_17_071311_observable_naming_update","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_22_080529_x_single_observable_residual_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_22_080529_x_single_observable_residual_test","PARTIAL","SIMPLE","expects observables.csv"
"results/cross_experiment/runs/run_2026_03_22_080734_x_single_observable_residual_test_corrected/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_22_080734_x_single_observable_residual_test_corrected","PARTIAL","SIMPLE","expects observables.csv"
"results/cross_experiment/runs/run_2026_03_22_091808_dimensionless_constrained_basin_scan/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_22_091808_dimensionless_constrained_basin_scan","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_23_162548_x_necessity_tests/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_23_162548_x_necessity_tests","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_23_171749_svd_projection_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_23_171749_svd_projection_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_23_172510_svd_projection_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_23_172510_svd_projection_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_030732_barrier_to_relaxation_mechanism/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_030732_barrier_to_relaxation_mechanism","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_031205_barrier_to_relaxation_mechanism/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_031205_barrier_to_relaxation_mechanism","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_031904_barrier_to_relaxation_mechanism/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_031904_barrier_to_relaxation_mechanism","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_034859_barrier_relaxation_mechanism_closure/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_034859_barrier_relaxation_mechanism_closure","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_035350_barrier_relaxation_mechanism_closure/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_035350_barrier_relaxation_mechanism_closure","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_040041_barrier_relaxation_mechanism_closure/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_040041_barrier_relaxation_mechanism_closure","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_041304_pt_to_phi_prediction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_041304_pt_to_phi_prediction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_041503_temperature_regime_analysis/config_snapshot.m","infrastructure","Cross-experiment analysis snapshot","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_041503_temperature_regime_analysis/run_temperature_regime_analysis.m","unknown","run_temperature_regime_analysis â€” AGENT 12 temperature regime / crossover summary","WORKING","MEDIUM","uses readtable"
"results/cross_experiment/runs/run_2026_03_25_042420_pt_to_phi_prediction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_042420_pt_to_phi_prediction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_043540_alternative_coordinate_search/config_snapshot.m","infrastructure","manual run folder","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_043540_pt_to_phi_prediction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_043540_pt_to_phi_prediction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_043622_alternative_coordinate_search/config_snapshot.m","infrastructure","manual run folder","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_044142_alternative_coordinate_search/config_snapshot.m","infrastructure","manual run folder","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_044412_alternative_coordinate_search/config_snapshot.m","infrastructure","snapshot","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_044523_alternative_coordinate_search/config_snapshot.m","infrastructure","snapshot","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_180406_kappa_from_pt_agent14/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_180406_kappa_from_pt_agent14","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_181142_barrier_to_dynamics_mechanism_agent13/config_snapshot.m","infrastructure","Auto-generated by agent13 (closure-based mapping)","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_203018_prediction_falsification_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_203018_prediction_falsification_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_203406_prediction_falsification_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_203406_prediction_falsification_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_233421_alpha_res_state/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_233421_alpha_res_state","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_233607_alpha_res_state/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_233607_alpha_res_state","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_233721_alpha_res_state/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_233721_alpha_res_state","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_233808_alpha_res_state/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_233808_alpha_res_state","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_233930_alpha_res_state/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_233930_alpha_res_state","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_234045_alpha_res_state/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_234045_alpha_res_state","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_235432_alpha_res_trajectory/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_235432_alpha_res_trajectory","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_25_235802_R_trajectory/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_25_235802_R_trajectory","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_000112_R_trajectory/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_000112_R_trajectory","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_002707_a_prediction_from_switching_agent24a/config_snapshot.m","infrastructure","config snapshot â€” Agent 24A (PowerShell numerical twin).","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_003414_aging_prediction_pt_state_trajectory/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_003414_aging_prediction_pt_state_trajectory","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_003741_aging_prediction_agent24b/config_snapshot.m","infrastructure","Agent 24B powershell","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_003830_aging_prediction_agent24b/config_snapshot.m","infrastructure","Agent 24B powershell","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_003911_aging_prediction_agent24b/config_snapshot.m","infrastructure","Agent 24B powershell","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_003942_aging_prediction_agent24b/config_snapshot.m","infrastructure","Agent 24B powershell","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_004501_aging_kappa1_prediction_agent24d/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_004501_aging_kappa1_prediction_agent24d","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_005343_aging_kappa1_prediction_agent24d/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_005343_aging_kappa1_prediction_agent24d","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_011319_aging_kappa2_closure/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_011319_aging_kappa2_closure","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_011408_aging_alpha_closure_alpha_residual/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_011408_aging_alpha_closure_alpha_residual","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_011517_aging_alpha_closure_alpha_residual/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_011517_aging_alpha_closure_alpha_residual","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_012056_aging_alpha_closure_alpha_residual/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_012056_aging_alpha_closure_alpha_residual","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_012433_aging_kappa2_closure/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_012433_aging_kappa2_closure","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_014455_aging_hermetic_closure_agent24i/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_014455_aging_hermetic_closure_agent24i","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_26_015008_aging_hermetic_closure_agent24i/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_26_015008_aging_hermetic_closure_agent24i","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_legacy_cross_experiment/config_snapshot.m","infrastructure","Placeholder config snapshot for legacy import.","PARTIAL","SIMPLE",""
"results/legacy_root/runs/run_legacy_results_root/config_snapshot.m","infrastructure","Placeholder config snapshot for legacy import.","PARTIAL","SIMPLE",""
"results/phaseC/runs/run_legacy_phaseC/config_snapshot.m","infrastructure","Placeholder config snapshot for legacy import.","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_09_205312_derivative_smoothing/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_09_205312_derivative_smoothing","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_014001_coordinate_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_014001_coordinate_audit","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_015246_coordinate_extraction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_015246_coordinate_extraction","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_073818_svd_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_073818_svd_audit","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_074713_svd_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_074713_svd_audit","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_102734_svd_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_102734_svd_audit","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_103044_svd_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_103044_svd_audit","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_103713_svd_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_103713_svd_audit","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_113434_svd_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_113434_svd_audit","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_114441_svd_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_114441_svd_audit","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_133938_time_mode_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_133938_time_mode_analysis","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_142409_geometry_observables/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_142409_geometry_observables","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_143118_geometry_observables/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_143118_geometry_observables","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_143906_timelaw_observables/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_143906_timelaw_observables","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_150549_geometry_observables/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_150549_geometry_observables","PARTIAL","SIMPLE",""
"results/relaxation/runs/run_2026_03_10_151424_geometry_observables/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_151424_geometry_observables","PARTIAL","SIMPLE",""
